Timestamp,Tool,Operation,State,Number_of_Devices,Device_Names,Execution_Time,CPU_Usage,Memory_Usage_MB,Memory_Usage_Percent,Network_Bytes_Sent,Network_Bytes_Received,Disk_IO_Bytes,Throughput
2024-11-03 09:14:36,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",26.89,51.14,12.25,0.32,246123,479339,1171456,9153.72
2024-11-03 09:15:32,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",27.46,49.45,12.38,0.32,243204,458355,1298432,8857.22
2024-11-03 09:16:32,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",32.68,41.66,12.38,0.32,251813,474071,3547136,7705.04
2024-11-03 09:17:40,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",28.64,49.79,12.39,0.32,249975,471959,4472832,8726.92
2024-11-03 09:18:31,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",20.51,66.39,12.39,0.32,238256,463096,700416,11617.58
2024-11-03 09:19:23,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",25.57,53.92,12.39,0.32,238065,446373,937984,9311.07
2024-11-03 09:20:11,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",20.61,67.84,12.40,0.32,226365,439209,675840,10983.79
2024-11-03 09:21:07,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",28.74,48.37,12.42,0.32,250866,481729,1011712,8729.89
2024-11-03 09:22:05,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",23.44,60.89,12.44,0.32,258177,491825,3784704,11013.43
2024-11-03 09:22:57,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",21.13,68.94,12.44,0.32,253585,466944,3252224,12002.80
2024-11-03 09:23:50,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",25.87,55.85,12.44,0.32,265330,470619,3321856,10254.70
2024-11-03 09:24:43,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",22.30,63.99,12.44,0.32,253359,494907,3301376,11360.06
2024-11-03 09:25:48,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",23.74,57.01,12.46,0.32,236163,455216,7196672,9946.87
2024-11-03 09:26:43,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",20.81,68.74,12.46,0.32,240395,463999,876544,11549.66
2024-11-03 09:27:40,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",26.62,53.14,12.46,0.32,237154,450360,1208320,8909.61
2024-11-03 09:28:35,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",27.86,49.26,12.46,0.32,257919,497453,3313664,9258.36
2024-11-03 09:29:33,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",24.29,56.18,12.47,0.32,258663,470484,3149824,10649.33
2024-11-03 09:30:30,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",22.65,74.75,12.47,0.32,256039,497346,23232512,11305.00
2024-11-03 09:31:19,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",20.83,67.47,12.47,0.32,239236,460554,1060864,11487.81
2024-11-03 09:32:12,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",23.38,61.87,12.48,0.32,235611,457220,1069056,10078.56
2024-11-03 09:33:02,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",20.96,67.40,12.48,0.32,233778,450951,3039232,11155.19
2024-11-03 09:33:57,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",24.95,54.19,12.48,0.32,243224,464807,1003520,9750.36
2024-11-03 09:34:48,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",21.38,69.50,12.48,0.32,241706,473757,3203072,11304.92
2024-11-03 09:35:36,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",22.03,61.07,12.48,0.32,238209,452419,2953216,10813.16
2024-11-03 09:36:44,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",38.01,32.77,12.48,0.32,260888,500071,3510272,6864.13
2024-11-03 09:37:34,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",22.50,60.14,12.48,0.32,240665,463498,3330048,10697.86
2024-11-03 09:38:22,Ansible,apply,all_changes,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",21.69,67.96,12.48,0.32,237106,451732,3366912,10931.65
