Timestamp,Tool,Operation,State,Number_of_Devices,Device_Names,Execution_Time,CPU_Usage,Memory_Usage_MB,Memory_Usage_Percent,Network_Bytes_Sent,Network_Bytes_Received,Disk_IO_Bytes,Throughput
2024-11-03 07:38:31,Ansible,remove,remove_one_change,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",23.20,56.48,12.30,0.32,208536,425329,3702784,8989.69
2024-11-03 07:39:25,Ansible,remove,remove_one_change,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",24.51,56.27,12.32,0.32,198980,416614,3366912,8117.04
2024-11-03 07:40:27,Ansible,remove,remove_one_change,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",31.12,44.55,12.33,0.32,204073,413397,3141632,6557.68
2024-11-03 07:41:21,Ansible,remove,remove_one_change,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",24.29,56.07,12.34,0.32,196810,412865,3473408,8102.52
2024-11-03 07:42:15,Ansible,remove,remove_one_change,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",23.58,53.45,12.36,0.32,196924,411372,3305472,8352.68
2024-11-03 07:43:09,Ansible,remove,remove_one_change,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",24.13,55.42,12.36,0.32,195973,412022,1220608,8121.43
2024-11-03 07:44:03,Ansible,remove,remove_one_change,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",24.29,54.98,12.37,0.32,199166,427277,3993600,8199.73
2024-11-03 07:44:56,Ansible,remove,remove_one_change,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",23.56,53.59,12.37,0.32,200941,412395,2539520,8529.47
2024-11-03 07:45:50,Ansible,remove,remove_one_change,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",23.93,55.84,12.37,0.32,195686,422356,1654784,8179.12
2024-11-03 07:46:44,Ansible,remove,remove_one_change,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",24.15,54.03,12.38,0.32,201316,408741,3301376,8336.60
2024-11-03 07:47:38,Ansible,remove,remove_one_change,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",23.79,54.05,12.38,0.32,194004,410120,4313088,8155.71
2024-11-03 07:48:31,Ansible,remove,remove_one_change,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",23.54,53.51,12.38,0.32,195811,412227,2936832,8317.54
2024-11-03 07:49:24,Ansible,remove,remove_one_change,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",23.55,57.88,12.38,0.32,197483,410888,2813952,8387.33
2024-11-03 07:50:17,Ansible,remove,remove_one_change,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",23.24,54.51,12.39,0.32,196336,410044,3047424,8449.78
2024-11-03 07:51:10,Ansible,remove,remove_one_change,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",23.50,52.90,12.39,0.32,197827,413418,1482752,8418.88
2024-11-03 07:52:02,Ansible,remove,remove_one_change,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",23.31,51.18,12.39,0.32,199357,426477,3072000,8551.87
2024-11-03 07:52:55,Ansible,remove,remove_one_change,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",23.57,51.87,12.39,0.32,195916,414927,1024000,8313.51
2024-11-03 07:53:49,Ansible,remove,remove_one_change,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",24.64,51.21,12.39,0.32,195835,416083,3641344,7948.57
2024-11-03 07:54:43,Ansible,remove,remove_one_change,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",23.74,53.68,12.39,0.32,199007,409861,4886528,8381.35
2024-11-03 07:55:37,Ansible,remove,remove_one_change,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",24.31,56.96,12.40,0.32,201220,414207,2899968,8276.90
2024-11-03 07:56:34,Ansible,remove,remove_one_change,12,"cisco5-65001,cisco4-65002,cisco8-65003,cisco6-65001,arista9-65001,arista11-65002,arista1-65003,arista10-65001,juniper1-65001,juniper1-65002,juniper5-65003,juniper2-65001",26.11,49.84,12.40,0.32,201216,420507,1048576,7705.14
