Timestamp,Tool,Operation,State,Number_of_Devices,Device_Names,Execution_Time,CPU_Usage,Memory_Usage_MB,Memory_Usage_Percent,Network_Bytes_Sent,Network_Bytes_Received,Disk_IO_Bytes,Throughput
2024-11-01 05:18:03,Salt,remove,remove_one_change,3,"cisco5-65001,arista9-65001,juniper1-65001",16.26,4.33,12.24,0.32,106264,133447,1916928,6537.21
2024-11-01 05:18:41,Salt,remove,remove_one_change,3,"cisco5-65001,arista9-65001,juniper1-65001",16.42,4.61,12.25,0.32,106604,147735,667648,6493.97
2024-11-01 05:19:21,Salt,remove,remove_one_change,3,"cisco5-65001,arista9-65001,juniper1-65001",16.11,4.20,12.25,0.32,106250,133399,4284416,6597.02
2024-11-01 05:20:00,Salt,remove,remove_one_change,3,"cisco5-65001,arista9-65001,juniper1-65001",17.08,4.16,12.26,0.32,106974,135389,4231168,6261.32
2024-11-01 05:20:39,Salt,remove,remove_one_change,3,"cisco5-65001,arista9-65001,juniper1-65001",15.96,3.64,12.26,0.32,123831,161184,4308992,7759.80
2024-11-01 05:21:18,Salt,remove,remove_one_change,3,"cisco5-65001,arista9-65001,juniper1-65001",16.21,4.15,12.26,0.32,123753,142598,4116480,7632.88
2024-11-01 05:21:58,Salt,remove,remove_one_change,3,"cisco5-65001,arista9-65001,juniper1-65001",17.84,4.39,12.26,0.32,122403,142943,2551808,6860.94
2024-11-01 05:22:36,Salt,remove,remove_one_change,3,"cisco5-65001,arista9-65001,juniper1-65001",16.77,4.28,12.26,0.32,109624,153230,3715072,6537.54
2024-11-01 05:23:15,Salt,remove,remove_one_change,3,"cisco5-65001,arista9-65001,juniper1-65001",16.18,4.15,12.26,0.32,108828,134492,442368,6726.47
2024-11-01 05:23:54,Salt,remove,remove_one_change,3,"cisco5-65001,arista9-65001,juniper1-65001",16.10,4.68,12.26,0.32,106394,134953,1011712,6609.66
2024-11-01 05:24:33,Salt,remove,remove_one_change,3,"cisco5-65001,arista9-65001,juniper1-65001",16.24,4.79,12.27,0.32,106100,132799,839680,6532.92
2024-11-01 05:25:12,Salt,remove,remove_one_change,3,"cisco5-65001,arista9-65001,juniper1-65001",16.19,3.67,12.27,0.32,105916,133053,712704,6542.31
2024-11-01 05:25:52,Salt,remove,remove_one_change,3,"cisco5-65001,arista9-65001,juniper1-65001",17.26,4.28,12.27,0.32,107410,134647,991232,6224.56
2024-11-01 05:26:30,Salt,remove,remove_one_change,3,"cisco5-65001,arista9-65001,juniper1-65001",16.07,3.99,12.27,0.32,105766,132431,466944,6583.10
2024-11-01 05:27:10,Salt,remove,remove_one_change,3,"cisco5-65001,arista9-65001,juniper1-65001",15.93,4.34,12.27,0.32,108843,135743,495616,6831.48
2024-11-01 05:27:48,Salt,remove,remove_one_change,3,"cisco5-65001,arista9-65001,juniper1-65001",16.48,4.37,12.27,0.32,107348,133855,5042176,6513.81
2024-11-01 05:28:26,Salt,remove,remove_one_change,3,"cisco5-65001,arista9-65001,juniper1-65001",15.94,5.14,12.27,0.32,110667,134606,15114240,6944.26
2024-11-01 05:29:05,Salt,remove,remove_one_change,3,"cisco5-65001,arista9-65001,juniper1-65001",16.61,3.84,12.27,0.32,107725,133203,520192,6487.07
2024-11-01 05:29:43,Salt,remove,remove_one_change,3,"cisco5-65001,arista9-65001,juniper1-65001",15.99,3.91,12.27,0.32,110597,135567,335872,6918.49
